'CORTEX_LEFT',1,29696,29696
'CORTEX_RIGHT',29697,29716,59412
'ACCUMBENS_LEFT',59413,135,59547
'ACCUMBENS_RIGHT',59548,140,59687
'AMYGDALA_LEFT',59688,315,60002
'AMYGDALA_RIGHT',60003,332,60334
'BRAIN_STEM',60335,3472,63806
'CAUDATE_LEFT',63807,728,64534
'CAUDATE_RIGHT',64535,755,65289
'CEREBELLUM_LEFT',65290,8709,73998
'CEREBELLUM_RIGHT',73999,9144,83142
'DIENCEPHALON_VENTRAL_LEFT',83143,706,83848
'DIENCEPHALON_VENTRAL_RIGHT',83849,712,84560
'HIPPOCAMPUS_LEFT',84561,764,85324
'HIPPOCAMPUS_RIGHT',85325,795,86119
'PALLIDUM_LEFT',86120,297,86416
'PALLIDUM_RIGHT',86417,260,86676
'PUTAMEN_LEFT',86677,1060,87736
'PUTAMEN_RIGHT',87737,1010,88746
'THALAMUS_LEFT',88747,1288,90034
'THALAMUS_RIGHT',90035,1248,91282